,Instrument,RIC,Currency,Issuer Rating,Rating Source Description,Date,Fitchs Rating,Fitchs Rating Date,SP Rating,SP Rating Date,Moodys Rating,Moodys Rating Date,Duration,Total Duration,Modified Duration,Modified Duration,Mac. Duration,Macaulay Duration,Yield To Maturity,Yield to Maturity,Average Yield to Maturity,Yield to Maturity,Bond Grade,Par Value,Face Issued Total
101,SE0013104262=,SE0013104262=,SEK,,,,,,,,,2020-12-07,0.5856,,0.0944,,0.582818,,2.635133,,,2.584907,,2000000,1800000000
102,SE0013104296=,SE0013104296=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2020-12-15,0.1139,,0.1139,,0.111111,,2.15202,,,2.1125,,2000000,7000000000
103,SE0013104304=,SE0013104304=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-05-23,,,,,,2021-01-15,0.6905,,0.1972,,0.687697,,2.674726,,,2.624873,,2000000,600000000
104,SE0013104353=,SE0013104353=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2024-12-19,,,,,,2021-02-02,0.7417,,0.7261,0.09587041162649,0.741667,,2.947292,,,2.897258,,2000000,450000000
105,SE0013104460=,SE0013104460=,SEK,,,,,,,,,2021-03-18,4.4808,,0.1222,,4.477058,,3.628315,,,3.548182,,2000000,120000000
106,SE0013104528=,SE0013104528=,SEK,,,,,,,,,2021-05-17,0.5285,,0.0361,,0.528535,,2.491859,,,2.441744,,2000000,500000000
107,SE0013104569=,SE0013104569=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2025-05-23,,,,,,2021-05-28,0.0639,,0.0639,,0.063889,,2.35356,,,2.306614,,2000000,500000000
108,SE0013104593=,SE0013104593=,SEK,Baa2,Moody's Derived Long-term Issuer Rating,2024-12-19,,,,,,2021-06-04,0.0833,,0.0833,,0.080556,,2.379804,,,2.331783,,2000000,400000000
109,SE0013104676=,SE0013104676=,SEK,,,,,,,,,2021-09-01,0.3231,,0.075,,0.320361,,2.611389,,,2.5619,,2000000,1170000000
110,SE0013104700=,SE0013104700=,SEK,,,,,,,,,2021-09-06,0.3396,,0.0944,,0.336865,,2.931175,,,2.881103,,2000000,500000000
111,SE0013104775=,SE0013104775=,SEK,,,,,,,,,2021-09-21,0.379,,0.1333,,0.376236,,2.406105,,,2.355852,,2000000,200000000
112,SE0013104783=,SE0013104783=,SEK,Aaa,Moody's Long-term Mortgage Covered Bonds Rating,2022-01-18,,,,,Aaa,2021-09-28,0.4063,,0.1583,,0.403563,,2.181349,,,2.0966,Bond Grade: Investment Grade,2000000,1000000000
113,SE0013104817=,SE0013104817=,SEK,,,,,,,,,2021-10-19,0.4566,,0.2111,,0.453795,,2.193515,,,2.143088,,2000000,3000000000
114,SE0013104924=,SE0013104924=,SEK,,,,,,,,,2022-02-16,0.7308,,0.2361,,0.727998,,2.120712,,,2.090633,,2000000,3000000000
115,SE0013104957=,SE0013104957=,SEK,,,,,,,,,2022-02-24,2.4517,,0.0556,,2.445985,,9.308668,,,8.269574,,2000000,600000000
116,SE0013105012=,SE0013105012=,SEK,,,,,,,,,2022-05-11,1.006,,0.2667,,1.006046,,2.4524,,,2.402586,,2000000,350000000
117,SE0013105053=,SE0013105053=,SEK,,,,,,,,,2022-05-27,1.0317,,1.0048,0.123533174332086,1.031712,,2.731467,,,2.681303,,2000000,500000000
118,SE0013105145=,SE0013105145=,SEK,,,,,,,,,2022-09-20,1.3518,,0.1333,,1.349011,,2.329976,,,2.299787,,2000000,3000000000
119,SE0013105228=,SE0013105228=,SEK,A1,Egan-Jones Commercial Paper,2023-03-21,,,,,,2022-11-23,1.5001,,0.0556,,1.500082,,2.965698,,,2.915835,,2000000,900000000
120,SE0013105236=,SE0013105236=,SEK,A1,Egan-Jones Commercial Paper,2023-03-21,,,,,,2022-11-23,1.5055,,1.455,0.164948599447394,1.505439,,3.518487,,,3.468541,,2000000,1100000000
121,SE0013105251=,SE0013105251=,SEK,,,,,,,,,2022-12-01,0.8093,,0.075,,0.806543,,2.773952,,,2.723954,,2000000,450000000
122,SE0013105269=,SE0013105269=,SEK,,,,,,,,,2022-12-01,0.8222,,0.8011,0.100019362979723,0.822222,,3.256813,,,3.20683,,2000000,500000000
123,SE0013105277=,SE0013105277=,SEK,,,,,,,,,2022-12-01,1.7491,,0.075,,1.746315,,2.980133,,,2.930144,,2000000,750000000
124,SE0013105327=,SE0013105327=,SEK,,,,,,,,,2023-02-14,0.7642,,0.0278,,1.711832,,3.260753,,,3.210698,,2000000,800000000
125,SE0013105343=,SE0013105343=,SEK,A3,Moody's Junior Senior Unsecured,2021-07-13,,,,,WR,2025-11-05,1.7591,,0.075,,5.982921,,3.672241,,,3.664911,,2000000,850000000
126,SE0013105350=,SE0013105350=,SEK,A3,Moody's Junior Senior Unsecured,2021-07-13,,,,,WR,2025-11-05,1.776,,1.7125,0.181479577495431,5.937247,,3.910406,,,3.902924,,2000000,750000000
127,SE0013105400=,SE0013105400=,SEK,,,,,,,,,2023-04-13,1.8843,,0.1917,,1.881506,,2.63791,,,2.587997,,2000000,350000000
128,SE0013105418=,SE0013105418=,SEK,,,,,,,,,2023-04-13,1.8987,,1.8407,0.194417267317901,1.898647,,3.199677,,,3.149705,,2000000,350000000
129,SE0013105459=,SE0013105459=,SEK,,,,,,,,,2023-04-27,1.9328,,0.2306,,1.929957,,2.414955,,,2.385015,,2000000,3000000000
130,SE0013105475=,SE0013105475=,SEK,,,,,,,,,2023-05-19,1.0168,,0.0389,,1.016783,,2.532192,,,2.482195,,2000000,500000000
131,SE0013105483=,SE0013105483=,SEK,,,,,,,,,2023-05-19,1.9572,,0.0389,,1.957137,,2.654833,,,2.604735,,2000000,200000000
132,SE0013105517=,SE0013105517=,SEK,,,,,,,,,2023-06-01,0.0722,,0.0721,0.036673766425899,1.029452,,4.358529,,,4.308481,,2000000,1000000000
133,SE0013105541=,SE0013105541=,SEK,,,,,,,,,2023-08-28,2.2385,,0.0639,,2.238501,,2.448267,,,2.428297,,2000000,3000000000
134,SE0013105566=,SE0013105566=,SEK,BBB-,Fitch Subordinated,2022-04-28,,,,,,2023-09-01,0.3229,,0.075,,1.290366,,3.226212,,,3.176046,,2000000,700000000
135,SE0013105624=,SE0013105624=,SEK,A3,Moody's Junior Senior Unsecured,2021-07-13,,,,,A1,2026-04-21,2.2875,,0.1333,,2.284676,,2.573799,,,2.548774,Bond Grade: Investment Grade,2000000,800000000
136,SE0013105632=,SE0013105632=,SEK,A3,Moody's Junior Senior Unsecured,2021-07-13,,,,,A1,2026-04-21,2.245,,2.1772,0.232378319989557,2.244906,,3.136422,,,3.111337,Bond Grade: Investment Grade,2000000,400000000
137,SE0013105640=,SE0013105640=,SEK,,,,,,,,,2023-09-27,2.2986,,0.1528,,2.295705,,2.861761,,,2.811642,,2000000,700000000
138,SE0013105657=,SE0013105657=,SEK,,,,,,,,,2023-09-27,2.2563,,2.1801,0.232804328387434,2.25617,,3.545412,,,3.495404,,2000000,800000000
139,SE0013105673=,SE0013105673=,SEK,,,,,,,,,2023-10-13,1.4114,,0.1917,,2.348893,,2.842367,,,2.792314,,2000000,800000000
140,SE0013105707=,SE0013105707=,SEK,A3,Moody's Long-term Issuer Rating,2024-03-28,,,,,NR,2023-12-14,0.7863,,0.0472,,0.786309,,2.519381,,,2.469345,,2000000,800000000
141,SE0013105715=,SE0013105715=,SEK,A3,Moody's Long-term Issuer Rating,2024-03-28,,,,,NR,2023-12-14,2.4378,,0.0472,,2.43773,,2.803098,,,2.753116,,2000000,300000000
142,SE0013105723=,SE0013105723=,SEK,A3,Moody's Long-term Issuer Rating,2024-03-28,,,,,NR,2023-12-14,2.4212,,2.3433,0.247631272843965,2.421152,,3.375371,,,3.325312,,2000000,150000000
143,SE0013105772=,SE0013105772=,SEK,,,,,,,,,2024-01-16,0.2,,0.2,,0.197222,,2.481681,,,2.431635,,2000000,650000000
144,SE0013105780=,SE0013105780=,SEK,WR,Moody's Long-term Issuer Rating,2024-03-14,,,,,,2024-01-24,2.6072,,2.5203,0.25478080508659,2.607077,,3.496974,,,3.446967,,2000000,650000000
145,SE0013105814=,SE0013105814=,SEK,,,,,,,,,2024-01-26,0.2306,,0.2306,,0.71968,,2.841659,,,2.791535,,2000000,1000000000
146,SE0013105848=,SE0013105848=,SEK,,,,,,,,,2024-02-09,2.6697,,2.5914,0.26277309307284,2.669624,,3.070504,,,3.020498,,2000000,800000000
147,SE0013105871=,SE0013105871=,SEK,NR,Egan-Jones Senior Unsecured,2022-10-19,,,,,,2024-02-19,1.0193,,0.0389,,1.019257,,2.566251,,,2.516097,,2000000,750000000
148,SE0013105889=,SE0013105889=,SEK,NR,Egan-Jones Senior Unsecured,2022-10-19,,,,,,2024-02-19,2.6493,,0.0389,,2.649153,,2.866319,,,2.816366,,2000000,1250000000
149,SE0013105905=,SE0013105905=,SEK,WR,Moody's Corporate Family Rating,2023-09-04,,,,,,2024-02-22,0.7825,,0.0472,,0.782447,,2.923862,,,2.873903,,2000000,1000000000
